Date,BRL_spot_FX_rate,Date,Current_account,Date,Trade_balance,Date,Implied_rate,Date,REER,Date,MOV_AVG_200D,Date,MOV_AVG_50D
2/27/18,3.2505,9/30/00,-3.6,7/31/12,2863,3/2/18,5.9572,2/28/18,75.5553,2/27/18,3.2195,2/27/18,3.2425
2/26/18,3.2249,6/30/00,-3.82,6/30/12,800,3/1/18,5.9889,2/27/18,75.4355,2/26/18,3.2191,2/26/18,3.2438
2/23/18,3.2389,3/31/00,-3.86,5/31/12,2960,2/28/18,6.0129,2/26/18,75.4388,2/23/18,3.2189,2/23/18,3.2457
2/22/18,3.2517,12/31/99,-4.26,4/30/12,879,2/27/18,6.1427,2/23/18,75.463,2/22/18,3.2187,2/22/18,3.247
2/21/18,3.2663,9/30/99,-4.31,3/31/12,2024,2/26/18,6.1296,2/22/18,75.108,2/21/18,3.2183,2/21/18,3.2479
2/20/18,3.2527,6/30/99,-4.46,2/29/12,1703,2/23/18,6.0064,2/21/18,74.9771,2/20/18,3.2179,2/20/18,3.2484
2/19/18,3.2335,3/31/99,-4.17,1/31/12,-1308,2/22/18,5.9958,2/20/18,75.2417,2/19/18,3.2175,2/19/18,3.2481
2/16/18,3.2311,12/31/98,-3.89,12/31/11,3798,2/21/18,6.0948,2/16/18,75.486,2/16/18,3.2171,2/16/18,3.2482
2/15/18,3.2317,9/30/98,-3.74,11/30/11,571,2/20/18,6.0718,2/15/18,75.1249,2/15/18,3.2168,2/15/18,3.2485
2/14/18,3.2246,6/30/98,-3.55,10/31/11,2362,2/19/18,6.0381,2/14/18,75.0043,2/14/18,3.2166,2/14/18,3.2491
2/9/18,3.3011,3/31/98,-3.61,9/30/11,3074,2/16/18,6.0583,2/13/18,74.1625,2/9/18,3.2163,2/9/18,3.2499
2/8/18,3.2857,12/31/97,-3.46,8/31/11,3138,2/15/18,6.1455,2/12/18,74.3297,2/8/18,3.2156,2/8/18,3.2488
2/7/18,3.272,9/30/97,-3.35,7/31/11,3138,2/14/18,6.32,2/9/18,74.0949,2/7/18,3.2148,2/7/18,3.2473
2/6/18,3.2349,6/30/97,-3.22,6/30/11,4429,2/13/18,6.3415,2/8/18,74.6124,2/6/18,3.2141,2/6/18,3.2464
2/5/18,3.2534,3/31/97,-2.86,5/31/11,3522,2/12/18,6.2593,2/7/18,74.7329,2/5/18,3.2137,2/5/18,3.2464
2/2/18,3.2191,12/31/96,-2.78,4/30/11,1860,2/9/18,6.1869,2/6/18,74.9427,2/2/18,3.213,2/2/18,3.2457
2/1/18,3.17,9/30/96,-2.11,3/31/11,1552,2/8/18,6.2069,2/5/18,75.2555,2/1/18,3.2124,2/1/18,3.2459
1/31/18,3.1875,6/30/96,-1.75,2/28/11,1192,2/7/18,6.4098,2/2/18,75.5973,1/31/18,3.2123,1/31/18,3.2475
1/30/18,3.1812,3/31/96,-2.07,1/31/11,397,2/6/18,6.4383,2/1/18,76.5359,1/30/18,3.212,1/30/18,3.2489
1/29/18,3.1555,12/31/95,-2.38,12/31/10,5344,2/5/18,6.4115,1/31/18,76.6978,1/29/18,3.2118,1/29/18,3.2505
1/26/18,3.1478,,,11/30/10,291,2/2/18,6.3054,1/30/18,76.4966,1/26/18,3.2116,1/26/18,3.2529
1/25/18,3.1486,,,10/31/10,1827,2/1/18,6.2346,1/29/18,77.1672,1/25/18,3.2116,1/25/18,3.2563
1/24/18,3.1418,,,9/30/10,1071,1/31/18,6.1544,1/26/18,77.2441,1/24/18,3.2116,1/24/18,3.2589
1/23/18,3.2385,,,8/31/10,2390,1/30/18,6.1031,1/25/18,77.1824,1/23/18,3.2115,1/23/18,3.2617
1/22/18,3.2038,,,7/31/10,1344,1/29/18,5.9991,1/24/18,76.5038,1/22/18,3.2108,1/22/18,3.262
1/19/18,3.1964,,,6/30/10,2267,1/26/18,5.9912,1/23/18,75.9469,1/19/18,3.2103,1/19/18,3.2629
1/18/18,3.2109,,,5/31/10,3450,1/25/18,6.0229,1/22/18,76.6974,1/18/18,3.2099,1/18/18,3.2645
1/17/18,3.2223,,,4/30/10,1282,1/24/18,6.1522,1/19/18,76.5994,1/17/18,3.2096,1/17/18,3.2653
1/16/18,3.2241,,,3/31/10,673,1/23/18,6.2622,1/18/18,76.3515,1/16/18,3.2091,1/16/18,3.2671
1/15/18,3.2154,,,2/28/10,389,1/22/18,6.2738,1/17/18,76.2926,1/15/18,3.2087,1/15/18,3.2679
1/12/18,3.2054,,,1/31/10,-181,1/19/18,6.2247,1/16/18,76.1904,1/12/18,3.2083,1/12/18,3.2691
1/11/18,3.214,,,12/31/09,2169,1/18/18,6.2789,1/12/18,76.6381,1/11/18,3.2078,1/11/18,3.2706
1/10/18,3.2352,,,11/30/09,611,1/17/18,6.2852,1/11/18,76.7365,1/10/18,3.2074,1/10/18,3.271
1/9/18,3.2492,,,10/31/09,1316,1/16/18,6.2543,1/10/18,76.6222,1/9/18,3.2067,1/9/18,3.2722
1/8/18,3.2368,,,9/30/09,1308,1/15/18,6.259,1/9/18,76.5459,1/8/18,3.2059,1/8/18,3.2719
1/5/18,3.2293,,,8/31/09,3053,1/12/18,6.0957,1/8/18,76.8119,1/5/18,3.2051,1/5/18,3.2722
1/4/18,3.2309,,,7/31/09,2911,1/11/18,6.1939,1/5/18,76.7017,1/4/18,3.2044,1/4/18,3.2723
1/3/18,3.238,,,6/30/09,4603,1/10/18,6.2561,1/4/18,76.6285,1/3/18,3.2038,1/3/18,3.2715
1/2/18,3.2616,,,5/31/09,2623,1/9/18,6.1909,1/3/18,76.2791,1/2/18,3.2031,1/2/18,3.2702
12/29/17,3.3125,,,4/30/09,3692,1/8/18,6.2237,1/2/18,75.756,12/29/17,3.2027,12/29/17,3.2684
12/28/17,3.3127,,,3/31/09,1756,1/5/18,5.9778,12/29/17,74.891,12/28/17,3.2019,12/28/17,3.2653
12/27/17,3.3166,,,2/28/09,1761,1/4/18,6.0487,12/28/17,75.4182,12/27/17,3.201,12/27/17,3.2625
12/26/17,3.3092,,,1/31/09,-530,1/3/18,6.1722,12/27/17,75.4604,12/26/17,3.2004,12/26/17,3.2591
12/22/17,3.3376,,,12/31/08,2316,1/2/18,6.0916,12/26/17,75.0884,12/22/17,3.1997,12/22/17,3.2563
12/21/17,3.3066,,,11/30/08,1634,1/1/18,6.026,12/22/17,74.9701,12/21/17,3.1986,12/21/17,3.2532
12/20/17,3.2961,,,10/31/08,1328,12/29/17,5.852,12/21/17,75.2971,12/20/17,3.1978,12/20/17,3.2508
12/19/17,3.2911,,,9/30/08,2757,12/28/17,5.7845,12/20/17,75.5143,12/19/17,3.1969,12/19/17,3.248
12/18/17,3.2889,,,8/31/08,2300,12/27/17,6.0676,12/19/17,75.469,12/18/17,3.1962,12/18/17,3.2453
12/15/17,3.3024,,,7/31/08,3328,12/26/17,5.9784,12/18/17,75.7981,12/15/17,3.1952,12/15/17,3.2422
12/14/17,3.3353,,,6/30/08,2729,12/25/17,5.8741,12/15/17,75.192,12/14/17,3.1942,12/14/17,3.239
12/13/17,3.3174,,,5/31/08,4076,12/22/17,5.7841,12/14/17,74.5985,12/13/17,3.1929,12/13/17,3.2354
12/12/17,3.3192,,,4/30/08,1732,12/21/17,5.7825,12/13/17,75.4905,12/12/17,3.1916,12/12/17,3.2323
12/11/17,3.3038,,,3/31/08,987,12/20/17,5.9594,12/12/17,75.1161,12/11/17,3.1905,12/11/17,3.2296
12/8/17,3.2935,,,2/29/08,848,12/19/17,6.0206,12/11/17,75.7245,12/8/17,3.1894,12/8/17,3.2274
12/7/17,3.2933,,,1/31/08,922,12/18/17,5.8653,12/8/17,75.4803,12/7/17,3.1885,12/7/17,3.2248
12/6/17,3.2353,,,12/31/07,3639,12/15/17,5.683,12/7/17,75.8055,12/6/17,3.1874,12/6/17,3.2221
12/5/17,3.2429,,,11/30/07,2020,12/14/17,5.7627,12/6/17,76.9355,12/5/17,3.1865,12/5/17,3.2199
12/4/17,3.2454,,,10/31/07,3429,12/13/17,5.879,12/5/17,77.014,12/4/17,3.1858,12/4/17,3.2178
12/1/17,3.2578,,,9/30/07,3475,12/12/17,5.9575,12/4/17,76.5347,12/1/17,3.1851,12/1/17,3.2156
11/30/17,3.2681,,,8/31/07,3541,12/11/17,5.891,12/1/17,76.2141,11/30/17,3.1844,11/30/17,3.2132
11/29/17,3.244,,,7/31/07,3344,12/8/17,5.809,11/30/17,75.9833,11/29/17,3.1837,11/29/17,3.2106
11/28/17,3.2135,,,6/30/07,3822,12/7/17,5.8681,11/29/17,77.0205,11/28/17,3.183,11/28/17,3.2079
11/27/17,3.2262,,,5/31/07,3853,12/6/17,6.0355,11/28/17,77.5176,11/27/17,3.1826,11/27/17,3.206
11/24/17,3.2322,,,4/30/07,4181,12/5/17,5.88,11/27/17,76.9752,11/24/17,3.182,11/24/17,3.2042
11/23/17,3.2225,,,3/31/07,3304,12/4/17,5.7105,11/24/17,77.0117,11/23/17,3.1815,11/23/17,3.2021
11/22/17,3.2248,,,2/28/07,2901,12/1/17,5.6235,11/22/17,77.0511,11/22/17,3.181,11/22/17,3.1997
11/21/17,3.2541,,,1/31/07,2523,11/30/17,5.7789,11/21/17,77.1112,11/21/17,3.1805,11/21/17,3.1969
11/20/17,3.2574,,,12/31/06,5052,11/29/17,5.9593,11/20/17,76.8714,11/20/17,3.18,11/20/17,3.1939
11/17/17,3.2593,,,11/30/06,3239,11/28/17,5.9212,11/17/17,76.5513,11/17/17,3.1793,11/17/17,3.1911
11/16/17,3.2775,,,10/31/06,3951,11/27/17,6.0384,11/16/17,76.4218,11/16/17,3.1787,11/16/17,3.1887
11/14/17,3.3152,,,9/30/06,4468,11/24/17,5.9946,11/15/17,75.5982,11/14/17,3.1782,11/14/17,3.1859
11/13/17,3.2794,,,8/31/06,4554,11/23/17,5.8842,11/14/17,75.9016,11/13/17,3.1775,11/13/17,3.1826
11/10/17,3.2837,,,7/31/06,5659,11/22/17,5.8985,11/13/17,76.3527,11/10/17,3.1769,11/10/17,3.1802
11/9/17,3.2505,,,6/30/06,4098,11/21/17,5.8923,11/10/17,76.7027,11/9/17,3.1763,11/9/17,3.1778
11/8/17,3.2505,,,5/31/06,3017,11/20/17,5.9603,11/9/17,77.225,11/8/17,3.176,11/8/17,3.1762
11/7/17,3.2729,,,4/30/06,3090,11/17/17,6.0096,11/8/17,77.1991,11/7/17,3.1757,11/7/17,3.1743
11/6/17,3.2519,,,3/31/06,3690,11/16/17,5.8733,11/7/17,76.8748,11/6/17,3.1755,11/6/17,3.1718
11/3/17,3.3138,,,2/28/06,2803,11/15/17,5.8929,11/6/17,76.7288,11/3/17,3.1753,11/3/17,3.1696
11/1/17,3.266,,,1/31/06,2835,11/14/17,5.9055,11/3/17,76.0359,11/1/17,3.1749,11/1/17,3.1666
10/31/17,3.2713,,,12/31/05,4350,11/13/17,5.8981,11/2/17,76.7437,10/31/17,3.1747,10/31/17,3.1646
10/30/17,3.2805,,,11/30/05,4093,11/10/17,5.962,11/1/17,76.8374,10/30/17,3.1742,10/30/17,3.1621
10/27/17,3.2356,,,10/31/05,3695,11/9/17,5.7351,10/31/17,76.7699,10/27/17,3.1738,10/27/17,3.16
10/26/17,3.2973,,,9/30/05,4339,11/8/17,5.8546,10/30/17,77.1469,10/26/17,3.1736,10/26/17,3.1584
10/25/17,3.2348,,,8/31/05,3670,11/7/17,6.1788,10/27/17,76.9589,10/25/17,3.1731,10/25/17,3.1558
10/24/17,3.2474,,,7/31/05,5023,11/6/17,6.1949,10/26/17,77.1447,10/24/17,3.1731,10/24/17,3.1549
10/23/17,3.2354,,,6/30/05,4052,11/3/17,6.2725,10/25/17,77.0192,10/23/17,3.1728,10/23/17,3.1538
10/20/17,3.1938,,,5/31/05,3463,11/2/17,6.371,10/24/17,77.0953,10/20/17,3.1727,10/20/17,3.1527
10/19/17,3.1708,,,4/30/05,3889,11/1/17,6.2659,10/23/17,77.8816,10/19/17,3.1731,10/19/17,3.1519
10/18/17,3.1707,,,3/31/05,3362,10/31/17,6.2472,10/20/17,78.4514,10/18/17,3.1737,10/18/17,3.151
10/17/17,3.1605,,,2/28/05,2793,10/30/17,6.3999,10/19/17,78.5316,10/17/17,3.1741,10/17/17,3.1501
10/16/17,3.1694,,,1/31/05,2194,10/27/17,6.3579,10/18/17,78.566,10/16/17,3.1746,10/16/17,3.1495
10/13/17,3.146,,,12/31/04,3527,10/26/17,6.2072,10/17/17,78.7004,10/13/17,3.1751,10/13/17,3.1484
10/11/17,3.173,,,11/30/04,2094,10/25/17,6.2605,10/16/17,78.6941,10/11/17,3.1757,10/11/17,3.1478
10/10/17,3.1804,,,10/31/04,3021,10/24/17,6.3652,10/13/17,78.8456,10/10/17,3.1763,10/10/17,3.1469
10/9/17,3.1883,,,9/30/04,3187,10/23/17,6.4994,10/12/17,78.5335,10/9/17,3.1767,10/9/17,3.1458
10/6/17,3.1555,,,8/31/04,3450,10/20/17,6.4404,10/11/17,78.6926,10/6/17,3.1772,10/6/17,3.1446
10/5/17,3.1539,,,7/31/04,3482,10/19/17,6.2681,10/10/17,78.5089,10/5/17,3.1781,10/5/17,3.1445
10/4/17,3.1349,,,6/30/04,3818,10/18/17,6.4392,10/6/17,79.292,10/4/17,3.1791,10/4/17,3.1442
10/3/17,3.1438,,,5/31/04,3128,10/17/17,6.473,10/5/17,79.6651,10/3/17,3.1803,10/3/17,3.145
10/2/17,3.1546,,,4/30/04,1971,10/16/17,6.4781,10/4/17,79.9008,10/2/17,3.1815,10/2/17,3.145
9/29/17,3.1625,,,3/31/04,2599,10/13/17,6.3141,10/3/17,79.421,9/29/17,3.1826,9/29/17,3.1448
9/28/17,3.1829,,,2/29/04,1972,10/12/17,6.3919,10/2/17,79.0986,9/28/17,3.1836,9/28/17,3.144
9/27/17,3.1932,,,1/31/04,1593,10/11/17,6.3482,9/29/17,78.8282,9/27/17,3.1844,9/27/17,3.1433
9/26/17,3.1662,,,12/31/03,2764,10/10/17,6.5054,9/28/17,78.3661,9/26/17,3.1851,9/26/17,3.1426
9/25/17,3.1597,,,11/30/03,1730,10/9/17,6.5815,9/27/17,78.2044,9/25/17,3.1861,9/25/17,3.1429
9/22/17,3.125,,,10/31/03,2549,10/6/17,6.6003,9/26/17,78.6132,9/22/17,3.1872,9/22/17,3.1433
9/21/17,3.1382,,,9/30/03,2675,10/5/17,6.406,9/25/17,78.7914,9/21/17,3.1886,9/21/17,3.145
9/20/17,3.1335,,,8/31/03,2683,10/4/17,6.5551,9/22/17,79.0256,9/20/17,3.1899,9/20/17,3.1464
9/19/17,3.1355,,,7/31/03,2066,10/3/17,6.6459,9/21/17,78.7459,9/19/17,3.1914,9/19/17,3.1489
9/18/17,3.1376,,,6/30/03,2362,10/2/17,6.6856,9/20/17,78.8887,9/18/17,3.1931,9/18/17,3.1513
9/15/17,3.1104,,,5/31/03,2527,9/29/17,6.4501,9/19/17,78.7441,9/15/17,3.1947,9/15/17,3.1541
9/14/17,3.1209,,,4/30/03,1731,9/28/17,6.3463,9/18/17,78.8203,9/14/17,3.1961,9/14/17,3.1579
9/13/17,3.1353,,,3/31/03,1544,9/27/17,6.4739,9/15/17,78.7051,9/13/17,3.1974,9/13/17,3.1612
9/12/17,3.1262,,,2/28/03,1120,9/26/17,6.3013,9/14/17,78.7606,9/12/17,3.1987,9/12/17,3.1647
9/11/17,3.1029,,,1/31/03,1161,9/25/17,6.3049,9/13/17,78.5738,9/11/17,3.2001,9/11/17,3.1682
9/8/17,3.0872,,,12/31/02,1808,9/22/17,6.1541,9/12/17,79.126,9/8/17,3.2016,9/8/17,3.1724
9/6/17,3.1002,,,11/30/02,1286,9/21/17,6.2868,9/11/17,79.643,9/6/17,3.2031,9/6/17,3.1767
9/5/17,3.1174,,,10/31/02,2199,9/20/17,6.6108,9/8/17,79.2969,9/5/17,3.2044,9/5/17,3.1803
9/4/17,3.1393,,,9/30/02,2496,9/19/17,6.6736,9/7/17,79.1739,9/4/17,3.2056,9/4/17,3.1842
9/1/17,3.1404,,,8/31/02,1584,9/18/17,6.7787,9/6/17,79.2717,9/1/17,3.2068,9/1/17,3.1873
8/31/17,3.1491,,,7/31/02,1206,9/15/17,6.6077,9/5/17,79.0053,8/31/17,3.2082,8/31/17,3.1914
8/30/17,3.1596,,,6/30/02,685,9/14/17,6.4478,9/1/17,78.9915,8/30/17,3.2096,8/30/17,3.1952
8/29/17,3.1646,,,5/31/02,385,9/13/17,6.4122,8/31/17,78.8063,8/29/17,3.211,8/29/17,3.1988
8/28/17,3.1669,,,4/30/02,508,9/12/17,6.3248,8/30/17,78.4413,8/28/17,3.2121,8/28/17,3.202
8/25/17,3.159,,,3/31/02,603,9/11/17,6.4401,8/29/17,78.0884,8/25/17,3.2133,8/25/17,3.2043
8/24/17,3.1482,,,2/28/02,266,9/8/17,6.3595,8/28/17,78.3905,8/24/17,3.2136,8/24/17,3.207
8/23/17,3.1424,,,1/31/02,173,9/7/17,6.195,8/25/17,78.9089,8/23/17,3.2137,8/23/17,3.2095
8/22/17,3.163,,,12/31/01,858,9/6/17,6.3286,8/24/17,79.2307,8/22/17,3.214,8/22/17,3.213
8/21/17,3.1651,,,11/30/01,294,9/5/17,6.5683,8/23/17,78.9887,8/21/17,3.2144,8/21/17,3.2161
8/18/17,3.1472,,,10/31/01,251,9/4/17,6.668,8/22/17,79.1025,8/18/17,3.2148,8/18/17,3.2187
