Dates,BRL_FX_Spot,50d_200d_cross,CA,TB,rate,REER_discount,budget
2/21/03,3.6225,1,-1.2,1161,17.6735,-0.175512121,-3.91
2/24/03,3.582,1,-1.2,1161,17.74,-0.170913683,-3.91
2/25/03,3.6025,1,-1.2,1161,18.7892,-0.17361078,-3.91
2/26/03,3.581,1,-1.2,1161,19.61,-0.167599402,-3.91
2/27/03,3.5545,1,-1.2,1161,20.48,-0.161758869,-3.91
2/28/03,3.5685,1,-1.2,1120,20.48,-0.160366518,-3.91
3/3/03,3.565,1,-1.2,1120,21.2,-0.160702885,-3.91
3/4/03,3.565,1,-1.2,1120,21.2,-0.16085505,-3.91
3/5/03,3.5525,1,-1.2,1120,20.8732,-0.162395508,-3.91
3/6/03,3.496,1,-1.2,1120,20.6593,-0.152126245,-3.91
3/7/03,3.4975,1,-1.2,1120,20.6593,-0.148027417,-3.91
3/10/03,3.523,1,-1.2,1120,20.6593,-0.152308649,-3.91
3/11/03,3.4825,1,-1.2,1120,20.6593,-0.140663284,-3.91
3/12/03,3.4675,1,-1.2,1120,21.01,-0.139112985,-3.91
3/13/03,3.4075,1,-1.2,1120,19.943,-0.121444898,-3.91
3/14/03,3.4325,1,-1.2,1120,19.971,-0.107917067,-3.91
3/17/03,3.4405,1,-1.2,1120,18.8756,-0.107965413,-3.91
3/18/03,3.4435,1,-1.2,1120,18.8156,-0.117821374,-3.91
3/19/03,3.4665,1,-1.2,1120,19.36,-0.124066258,-3.91
3/20/03,3.4735,1,-1.2,1120,19.36,-0.126503125,-3.91
3/21/03,3.4035,1,-1.2,1120,19.2024,-0.108658726,-3.91
3/24/03,3.398,1,-1.2,1120,19.5238,-0.106701907,-3.91
3/25/03,3.3675,1,-1.2,1120,19.796,-0.104942079,-3.91
3/26/03,3.3815,1,-1.2,1120,19.8,-0.105253256,-3.91
3/27/03,3.3815,1,-1.2,1120,18.9508,-0.108352554,-3.91
3/28/03,3.364,1,-1.2,1120,18.8408,-0.098146822,-3.91
3/31/03,3.3525,1,-0.62,1544,19,-0.090320304,-5.14
4/1/03,3.3135,1,-0.62,1544,19.5554,-0.088853529,-5.14
